Code,Experience,Fleet,PrimaryUse,Radius,SizeClass,Type
-select-,,,AmbulanceService,,,Special
0001,,NonFleet,Service,LessThan50Miles,LightTruck,Commercial
0002,,NonFleet,Service,50-200Miles,LightTruck,Commercial
0003,,NonFleet,Service,200PlusMiles,LightTruck,Commercial
0004,,Fleet,Service,LessThan50Miles,LightTruck,Commercial
0005,,Fleet,Service,50-200Miles,LightTruck,Commercial
0006,,Fleet,Service,200PlusMiles,LightTruck,Commercial
0007,,NonFleet,Retail,LessThan50Miles,LightTruck,Commercial
0008,,NonFleet,Retail,50-200Miles,LightTruck,Commercial
0009,,NonFleet,Retail,200PlusMiles,LightTruck,Commercial
0010,,Fleet,Retail,LessThan50Miles,LightTruck,Commercial
0011,,Fleet,Retail,50-200Miles,LightTruck,Commercial
0012,,Fleet,Retail,200PlusMiles,LightTruck,Commercial
0013,,NonFleet,Commercial,LessThan50Miles,LightTruck,Commercial
0014,,NonFleet,Commercial,50-200Miles,LightTruck,Commercial
0015,,NonFleet,Commercial,200PlusMiles,LightTruck,Commercial
0016,,Fleet,Commercial,LessThan50Miles,LightTruck,Commercial
0017,,Fleet,Commercial,50-200Miles,LightTruck,Commercial
0018,,Fleet,Commercial,200PlusMiles,LightTruck,Commercial
0019,,NonFleet,Service,LessThan50Miles,MediumTruck,Commercial
0020,,NonFleet,Service,50-200Miles,MediumTruck,Commercial
0021,,NonFleet,Service,200PlusMiles,MediumTruck,Commercial
0022,,Fleet,Service,LessThan50Miles,MediumTruck,Commercial
0023,,Fleet,Service,50-200Miles,MediumTruck,Commercial
0024,,Fleet,Service,200PlusMiles,MediumTruck,Commercial
0025,,NonFleet,Retail,LessThan50Miles,MediumTruck,Commercial
0026,,NonFleet,Retail,50-200Miles,MediumTruck,Commercial
0027,,NonFleet,Retail,200PlusMiles,MediumTruck,Commercial
0028,,Fleet,Retail,LessThan50Miles,MediumTruck,Commercial
0029,,Fleet,Retail,50-200Miles,MediumTruck,Commercial
0030,,Fleet,Retail,200PlusMiles,MediumTruck,Commercial
0031,,NonFleet,Commercial,LessThan50Miles,MediumTruck,Commercial
0032,,NonFleet,Commercial,50-200Miles,MediumTruck,Commercial
0033,,NonFleet,Commercial,200PlusMiles,MediumTruck,Commercial
0034,,Fleet,Commercial,LessThan50Miles,MediumTruck,Commercial
0035,,Fleet,Commercial,50-200Miles,MediumTruck,Commercial
0036,,Fleet,Commercial,200PlusMiles,MediumTruck,Commercial
0037,,NonFleet,Service,LessThan50Miles,HeavyTruck,Commercial
0038,,NonFleet,Service,50-200Miles,HeavyTruck,Commercial
0039,,NonFleet,Service,200PlusMiles,HeavyTruck,Commercial
0040,,Fleet,Service,LessThan50Miles,HeavyTruck,Commercial
0041,,Fleet,Service,50-200Miles,HeavyTruck,Commercial
0042,,Fleet,Service,200PlusMiles,HeavyTruck,Commercial
0043,,NonFleet,Retail,LessThan50Miles,HeavyTruck,Commercial
0044,,NonFleet,Retail,50-200Miles,HeavyTruck,Commercial
0045,,NonFleet,Retail,200PlusMiles,HeavyTruck,Commercial
0046,,Fleet,Retail,LessThan50Miles,HeavyTruck,Commercial
