PrimaryBusinessType,PrimaryBusinessSubType,BusinessYears,Liability,MedicalPayment,ComprehensiveDeductible,Collisiondeductible,TowingandLabor,RentalReimbursement,NonOwnedauto,Make,VehicleUse,VehicleOwnership,MainDriverofVehicle,NumberOfDrivers,State,DriverExperience,AddressType,TermType,QuoteType,ProductType,FleetLimit,VehicleType,Vehicleconditionwhenpurchased,Fleet,PrimaryUse,Radiusofoperation,Sizeclass,UsageType,Collision,Comprehensive,MaritalStatus,Gender,Occupation,Experience,EntityType,Industry,IndustryUse,LiabilityBodilyInjury
-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-
Offices,Buildings,0,12.5/25/7.5,"$5,000",$500,No Coverage,"$1,500",$500,No,ACE,Business,Tenants by the Entirety (Spouses),Owner,2,Alabama,More than 2 years,Billing,Annual,Quick Quote,Business Auto,10 or more units,"Trucks,Tractors,Trailers",Used,NonFleet,Airport Bus Limo,0,1 - 8,Commercial,Yes,Yes,Single,Male,Business Professional,All Drivers Exp More Than 5,Individual,Food,meatpoultry,250/500
Retail,Retail - Stores,1,15/30/5,"$10,000","$1,000",$250,"$2,000","$2,500",Yes,ACURA,Personal,Joint Tenants,Employee,4,Alaska,1 - 2 years,Business,6 Months,Full Application,Garagekeepers,Fewer than 10 units,Passenger Vehicles,New,Fleet,Ambulance Service,15 or Less,21 - 60,Passenger,No,No,Married,Female,Medical,Main Driver Exp More Than 5,Corporation,Dump,dumpother,500/750
Industrial,Warehouse,2,15/30/10,"$15,000","$2,000",$500,"$3,000","$3,500",,ALCOUGHTLINER,,Tenants in Common,Other,6,American Samoa,6 - 11 months,Other,Other,,Motor Carrier and Truckers,,Livery Vehicles,,,Antique,15 or More,9 - 20,Vehicle,,,,Other,Unemployed,All Other
Leisure,Bars and Restaurants,3,20/40/0,"$20,000",,"$1,000",Declined,Declined,,ALFA ROMEO,,Business Partners,,,Arizona,Less than 6 months,Home,,,Business Auto Physical Damage,,Special,,,Athlete Entertainer,200 Plus Miles,Extra Heavy Truck,Public Transport,,,,,Clerical
Healthcare,Medical Centres,4,20/40/5,"$25,000",,"$2,500",,,,ALIKAN,,Transfer on Death,,,Arkansas,,,,,,,,,,Auto Delivery Pick Up,50 - 200 Miles,Extra Heavy Truck Tractor,Special,,,,
,,5,20/40/10,,,"$5,000",,,,ALLCO,,Spouse,,,Armed Forces (AA),,,,,,,,,,Bobtail Operation,Less Than 50 Miles,Heavy Truck
,,6,20/40/15,,,,,,,ALLIS,,Insured,,,Armed Forces (AE),,,,,,,,,,Charter Bus,,Heavy Truck Tractor
,,7,25/50/0,,,,,,,ALLOY,,,,,Armed Forces (AP),,,,,,,,,,Church Bus,,Light Truck
,,8,25/50/10,,,,,,,ALTEC,,,,,California,,,,,,,,,,Comm Driving School,,Medium Truck
,,9,25/50/15,,,,,,,ALUMATEC,,,,,Colorado,,,,,,,,,,Commercial,,Semi trailer
,,10,25/50/20,,,,,,,ALUMINUM CUSTOM,,,,,Connecticut,,,,,,,,,,District Owned School Bus,,Service Utility Trailer
,,11,25/50/25,,,,,,,AMC,,,,,Delaware,,,,,,,,,,Driver Training,,Trailer
,,12,30/60/0,,,,,,,AMERICAN,,,,,District of Columbia,,,,,,,,,,Employer Furnished Van,,over 60
,,13,30/60/10,,,,,,,ANJ,,,,,Florida,,,,,,,,,,Farm Labor Exc Pass Haz
,,14,50/100/25,,,,,,,APACHE,,,,,Georgia,,,,,,,,,,Farm Labor Inc Pass Haz
,,15,250/500/100,,,,,,,APPLE,,,,,Guam,,,,,,,,,,Fire Department Other
,,15+,500/750/500,,,,,,,ART,,,,,Hawaii,,,,,,,,,,Fire Department PP
,,,40K,,,,,,,ASPEN,,,,,Idaho,,,,,,,,,,Funeral Hearse
,,,50K,,,,,,,ASSEMBLY TRAILER,,,,,Illinois,,,,,,,,,,Funeral Limousine
,,,100K,,,,,,,ASVE,,,,,Indiana,,,,,,,,,,Golf Mobiles
,,,250K,,,,,,,ATI,,,,,Iowa,,,,,,,,,,Inter City Bus
,,,500K,,,,,,,ATM,,,,,Kansas,,,,,,,,,,Law Enforcement MCycle
,,,1M,,,,,,,AUDI,,,,,Kentucky,,,,,,,,,,Law Enforcement Other
,,,0/0/10,,,,,,,AUTOCAR,,,,,Louisiana,,,,,,,,,,Law Enforcement PP
,,,,,,,,,,AZMFG,,,,,Maine,,,,,,,,,,Leasing Contingent Cov
,,,,,,,,,,AZTEC,,,,,Marshall Islands,,,,,,,,,,Limousine
,,,,,,,,,,BANKS,,,,,Maryland,,,,,,,,,,Mobile Home Camper Body
,,,,,,,,,,BARRETT,,,,,Massachusetts,,,,,,,,,,Mobile Home Greater 22 Ft
,,,,,,,,,,BEACHCOMBER,,,,,Michigan,,,,,,,,,,Mobile Home Less 22 Ft
,,,,,,,,,,BEALL,,,,,Micronesia,,,,,,,,,,Mobile Home Trailor LQ
,,,,,,,,,,BEAT,,,,,Minnesota,,,,,,,,,,Other Bus
,,,,,,,,,,BEAVER,,,,,Mississippi,,,,,,,,,,Other School Bus
,,,,,,,,,,BELSHE,,,,,Missouri,,,,,,,,,,Other Van
,,,,,,,,,,BEMCO,,,,,Montana,,,,,,,,,,Rental Misc
,,,,,,,,,,BENSON,,,,,Nebraska,,,,,,,,,,Rental Motor Home
,,,,,,,,,,BERING,,,,,Nevada,,,,,,,,,,Rental PP Auto
,,,,,,,,,,BIG TEX,,,,,New Hampshire,,,,,,,,,,Rental Tractor
,,,,,,,,,,BILTRITE,,,,,New Jersey,,,,,,,,,,Rental Trailer
,,,,,,,,,,BLACK DIAMOND,,,,,New Mexico,,,,,,,,,,Rental Truck
,,,,,,,,,,BMW,,,,,New York,,,,,,,,,,Repossessed Automobile
,,,,,,,,,,BOLE,,,,,North Carolina,,,,,,,,,,Retail
,,,,,,,,,,BOYDS,,,,,North Dakota,,,,,,,,,,SSA_Emp
,,,,,,,,,,BOYER,,,,,Northern Mariana Islands,,,,,,,,,,SSA_Other
,,,,,,,,,,BOYSTON,,,,,Ohio,,,,,,,,,,Service
,,,,,,,,,,BRAGG,,,,,Oklahoma,,,,,,,,,,Sightseeing Bus
,,,,,,,,,,BRAVO,,,,,Oregon,,,,,,,,,,Snowmobiles
,,,,,,,,,,BRAZOS,,,,,Palau,,,,,,,,,,Taxicab
,,,,,,,,,,BRE,,,,,Pennsylvania,,,,,,,,,,Urban Bus
,,,,,,,,,,BROCKWAY,,,,,Puerto Rico,,,,,,,,,
,,,,,,,,,,BROOKFIELD,,,,,Rhode Island,,,,,,,,,
,,,,,,,,,,BROWN,,,,,South Carolina,,,,,,,,,
,,,,,,,,,,BRUCE,,,,,South Dakota,,,,,,,,,
,,,,,,,,,,BRUTE,,,,,Tennessee,,,,,,,,,
,,,,,,,,,,BUBKO,,,,,Texas,,,,,,,,,
,,,,,,,,,,BUDD,,,,,Utah,,,,,,,,,
,,,,,,,,,,BUGATTI,,,,,Vermont,,,,,,,,,
,,,,,,,,,,BUICK,,,,,Virgin Islands,,,,,,,,,
,,,,,,,,,,BURMINGHAM,,,,,Virginia,,,,,,,,,
,,,,,,,,,,BUTLER,,,,,Washington,,,,,,,,,
,,,,,,,,,,BUTTERWORTH,,,,,West Virginia,,,,,,,,,
,,,,,,,,,,BW,,,,,Wisconsin,,,,,,,,,
,,,,,,,,,,C &amp; C,,,,,Wyoming,,,,,,,,,
,,,,,,,,,,CACHANILLA,,,,,,,,,,,,,,
,,,,,,,,,,CADILLAC,,,,,,,,,,,,,,
,,,,,,,,,,CAL,,,,,,,,,,,,,,
,,,,,,,,,,CALCR,,,,,,,,,,,,,,
,,,,,,,,,,CAPACITY,,,,,,,,,,,,,,
,,,,,,,,,,CAPRI,,,,,,,,,,,,,,
,,,,,,,,,,CAR HAULER,,,,,,,,,,,,,,
,,,,,,,,,,CARGO,,,,,,,,,,,,,,
,,,,,,,,,,CARRIER,,,,,,,,,,,,,,
,,,,,,,,,,CARRYALL,,,,,,,,,,,,,,
,,,,,,,,,,CARSON,,,,,,,,,,,,,,
,,,,,,,,,,CASE,,,,,,,,,,,,,,
,,,,,,,,,,CATERPILLAR,,,,,,,,,,,,,,
,,,,,,,,,,CENTRAL,,,,,,,,,,,,,,
,,,,,,,,,,CENTURY,,,,,,,,,,,,,,
,,,,,,,,,,CHALLENGER,,,,,,,,,,,,,,
,,,,,,,,,,CHAMPION,,,,,,,,,,,,,,
,,,,,,,,,,CHAPPERAL,,,,,,,,,,,,,,
,,,,,,,,,,CHASE,,,,,,,,,,,,,,
,,,,,,,,,,CHASSIS,,,,,,,,,,,,,,
,,,,,,,,,,CHEROKEE,,,,,,,,,,,,,,
,,,,,,,,,,CHEVROLET,,,,,,,,,,,,,,
,,,,,,,,,,CHEYENNE,,,,,,,,,,,,,,
,,,,,,,,,,CHIEF,,,,,,,,,,,,,,
,,,,,,,,,,CHISOLM,,,,,,,,,,,,,,
,,,,,,,,,,CHRYSLER,,,,,,,,,,,,,,
,,,,,,,,,,CIMC,,,,,,,,,,,,,,
,,,,,,,,,,CIMLINE,,,,,,,,,,,,,,
,,,,,,,,,,CIRCL,,,,,,,,,,,,,,
,,,,,,,,,,CIRCLE R,,,,,,,,,,,,,,
,,,,,,,,,,CLARENCE,,,,,,,,,,,,,,
,,,,,,,,,,CLARK,,,,,,,,,,,,,,
,,,,,,,,,,CLEMENT,,,,,,,,,,,,,,
,,,,,,,,,,CLEMENTS,,,,,,,,,,,,,,
,,,,,,,,,,CLOUGH-CLOUG,,,,,,,,,,,,,,
,,,,,,,,,,CMC,,,,,,,,,,,,,,
,,,,,,,,,,CMI,,,,,,,,,,,,,,
,,,,,,,,,,COACHMAN,,,,,,,,,,,,,,
,,,,,,,,,,COLUMBIA,,,,,,,,,,,,,,
,,,,,,,,,,COMET,,,,,,,,,,,,,,
,,,,,,,,,,COMET,,,,,,,,,,,,,,
,,,,,,,,,,COMMANDER,,,,,,,,,,,,,,
,,,,,,,,,,COMMERCIAL,,,,,,,,,,,,,,
,,,,,,,,,,CONSTRUCTION,,,,,,,,,,,,,,
,,,,,,,,,,CONTINENTAL,,,,,,,,,,,,,,
,,,,,,,,,,CONTRAIL,,,,,,,,,,,,,,
,,,,,,,,,,COOK,,,,,,,,,,,,,,
,,,,,,,,,,CORN,,,,,,,,,,,,,,
,,,,,,,,,,COTTRELL,,,,,,,,,,,,,,
,,,,,,,,,,COULSON,,,,,,,,,,,,,,
,,,,,,,,,,COULTER,,,,,,,,,,,,,,
,,,,,,,,,,COUNTRYSIDE,,,,,,,,,,,,,,
,,,,,,,,,,COXS,,,,,,,,,,,,,,
,,,,,,,,,,COZAD,,,,,,,,,,,,,,
,,,,,,,,,,CPCNS,,,,,,,,,,,,,,
,,,,,,,,,,CPS,,,,,,,,,,,,,,
,,,,,,,,,,CRAFTMADE,,,,,,,,,,,,,,
,,,,,,,,,,CTS,,,,,,,,,,,,,,
,,,,,,,,,,CTS,,,,,,,,,,,,,,
,,,,,,,,,,CURRIER,,,,,,,,,,,,,,
,,,,,,,,,,CUSTOM,,,,,,,,,,,,,,
,,,,,,,,,,CUSTOM MADE,,,,,,,,,,,,,,
,,,,,,,,,,DAIGLE,,,,,,,,,,,,,,
,,,,,,,,,,DAKOTA,,,,,,,,,,,,,,
,,,,,,,,,,DANCO,,,,,,,,,,,,,,
,,,,,,,,,,DATSUN,,,,,,,,,,,,,,
,,,,,,,,,,DAVIS,,,,,,,,,,,,,,
,,,,,,,,,,DCTRA,,,,,,,,,,,,,,
,,,,,,,,,,DELAVAN,,,,,,,,,,,,,,
,,,,,,,,,,DELAWARE,,,,,,,,,,,,,,
,,,,,,,,,,DELTA,,,,,,,,,,,,,,
,,,,,,,,,,DELVAN,,,,,,,,,,,,,,
,,,,,,,,,,DENAIR,,,,,,,,,,,,,,
,,,,,,,,,,DHL,,,,,,,,,,,,,,
,,,,,,,,,,DIAMOND,,,,,,,,,,,,,,
,,,,,,,,,,DICO,,,,,,,,,,,,,,
,,,,,,,,,,DIERZEN,,,,,,,,,,,,,,
,,,,,,,,,,DINAWELD,,,,,,,,,,,,,,
,,,,,,,,,,DIRECTTRAILER,,,,,,,,,,,,,,
,,,,,,,,,,DITCHWITCH,,,,,,,,,,,,,,
,,,,,,,,,,DNAIR,,,,,,,,,,,,,,
,,,,,,,,,,DNWI,,,,,,,,,,,,,,
,,,,,,,,,,DODGE,,,,,,,,,,,,,,
,,,,,,,,,,DONAHUE,,,,,,,,,,,,,,
,,,,,,,,,,DORSE,,,,,,,,,,,,,,
,,,,,,,,,,DORSEY,,,,,,,,,,,,,,
,,,,,,,,,,DRAGON,,,,,,,,,,,,,,
,,,,,,,,,,DUMP TRAILER,,,,,,,,,,,,,,
,,,,,,,,,,DUNH,,,,,,,,,,,,,,
,,,,,,,,,,EAGER BEAVER,,,,,,,,,,,,,,
,,,,,,,,,,EAGLE,,,,,,,,,,,,,,
,,,,,,,,,,EAST,,,,,,,,,,,,,,
,,,,,,,,,,ECHART,,,,,,,,,,,,,,
