State,ExcessLiabilityLimits,CSL,EachOccLimit,ProdAndCompLimit,GenAggLimit,PersAdvInjLimit,ELL,values,GAL,ExcessGenAggLimit,LL,ExcessEachOccLimit,,,,,,,,,,,,,
-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,,,,,,,,,,,,,
Alabama,"$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000",Auto Liability Limit,"$1,000,000","$1,000,000","$1,000,000","$1,000,000",,,,,,,,,,,,,
Alaska,"$2,000,000","$2,000,000","$2,000,000","$2,000,000","$2,000,000","$2,000,000","$2,000,000",Employee Benefits Liability,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",,,,,,,,,,,,,
American Samoa,"$3,000,000",,,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",Liquor Liability,"$3,000,000","$3,000,000",Included in General Liability,"$3,000,000",,,,,,,,,,,,,
Arizona,"$4,000,000",,,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",Hired & Non-Owned,"$4,000,000","$4,000,000",,"$4,000,000",,,,,,,,,,,,,
Arkansas,"$5,000,000",,,Included,,Included,"$5,000,000",,,"$5,000,000",,"$5,000,000",,,,,,,,,,,,,
Armed Forces (AA),,,,Excluded,,Excluded,"$6,000,000",,,"$6,000,000",,"$6,000,000",,,,,,,,,,,,,
Armed Forces (AE),,,,,,,"$7,000,000",,,"$7,000,000",,"$7,000,000",,,,,,,,,,,,,
Armed Forces (AP),,,,,,,"$8,000,000",,,"$8,000,000",,"$8,000,000",,,,,,,,,,,,,
California,,,,,,,"$9,000,000",,,"$9,000,000",,"$9,000,000",,,,,,,,,,,,,
Colorado,,,,,,,"$10,000,000",,,"$10,000,000",,"$10,000,000",,,,,,,,,,,,,
Connecticut,,,,,,,"$11,000,000",,,"$11,000,000",,"$11,000,000",,,,,,,,,,,,,
Delaware,,,,,,,"$12,000,000",,,"$12,000,000",,"$12,000,000",,,,,,,,,,,,,
District of Columbia,,,,,,,"$13,000,000",,,"$13,000,000",,"$13,000,000",,,,,,,,,,,,,
Florida,,,,,,,"$14,000,000",,,"$14,000,000",,"$14,000,000",,,,,,,,,,,,,
Georgia,,,,,,,"$15,000,000",,,"$15,000,000",,"$15,000,000",,,,,,,,,,,,,
Guam,,,,,,,"$16,000,000",,,"$16,000,000",,"$16,000,000",,,,,,,,,,,,,
Hawaii,,,,,,,"$17,000,000",,,"$17,000,000",,"$17,000,000",,,,,,,,,,,,,
Idaho,,,,,,,"$18,000,000",,,"$18,000,000",,"$18,000,000",,,,,,,,,,,,,
Illinois,,,,,,,"$19,000,000",,,"$19,000,000",,"$19,000,000",,,,,,,,,,,,,
Indiana,,,,,,,"$20,000,000",,,"$20,000,000",,"$20,000,000",,,,,,,,,,,,,
Iowa,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,
New York,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
