State,Term,TPCITerm,EntityType,UMBI,SpecifiedPerlisdeductible,Use,UMPD,ClaimantTypeCode,AlarmDescription,BuildingCoverage,TPCIMedPayemnts,ValuationType,PACOL,WindHailDeductible,PrimaryOperation,SewerDischarge,Model,RegisteredState,lineOfBusiness,Severity,Category
-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-,-select-
Alabama,6 Months,1 year,Select Entity Type,Select UMBI,Select Specified Perlis deductible,Commercial,No Coverage,First Party,Local Gong,No,"$1,000",Replacement Cost,"$1,000,000",$500,Yes,Yes,Model1,State1,Commercial Auto,Low,Policy
Alaska,1 Year,,Individual,Declined,No Coverage,Heavy,"$3,500",Third Party,Central Station with Keys,Yes,"$2,500",Actual Cash Value,"$2,000,000","$1,000",,No,Model2,State2,Commercial Property,High,Claim
American Samoa,,,Corporation,"$100,00",$250,Service,,,Central Station without Keys,,"$5,000",Functional Replacement Cost,"$3,000,000","$2,500",,,Model3,State3,,Medium
Arizona,,,Joint Venture,,$500,,,,Police Connect,,"$10,000",Guaranteed Replacement Cost,"$4,000,000","$5,000",,,,,,Critical
Arkansas,,,Partnership,,"$1,000",,,,,,Excluded,Enhanced Replacement Cost,Included,"$10,000",,,,,
Armed Forces (AA),,,LLC,,"$2,500",,,,,,,,Excluded,,,,,,
Armed Forces (AE),,,Other,,"$5,000",,,,,,,,,,,,,,
Armed Forces (AP),,,,,,,,,,,,,,,,,,,
California,,,,,,,,,,,,,,,,,,,
Colorado,,,,,,,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,,,,,,,
District of Columbia,,,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,
Hawaii,,,,,,,,,,,,,,,,,,,
Idaho,,,,,,,,,,,,,,,,,,,
Illinois,,,,,,,,,,,,,,,,,,,
Indiana,,,,,,,,,,,,,,,,,,,
Iowa,,,,,,,,,,,,,,,,,,,
Kansas,,,,,,,,,,,,,,,,,,,
Kentucky,,,,,,,,,,,,,,,,,,,
Louisiana,,,,,,,,,,,,,,,,,,,
Maine,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,
Maryland,,,,,,,,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,,,,,,,,,
Michigan,,,,,,,,,,,,,,,,,,,
Micronesia,,,,,,,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,,,,,,,,
Mississippi,,,,,,,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,,,,,,,
